,id,name,description,series,price,builtInEmote,copyrightedAudio,upcoming,reactive,releaseDate,lastAppearance,interest,video,audio,path,gameplayTags,apiTags,battlepass,type.id,type.name,rarity.id,rarity.name,added.date,added.version,images.icon,images.featured,images.background,images.icon_background,images.full_background,juno.icon,beans.icon,set.id,set.name,set.partOf,battlepass.season,battlepass.tier,battlepass.page,battlepass.type,battlepass.displayText.chapter,battlepass.displayText.season,battlepass.displayText.chapterSeason,battlepass.battlePassName,set,series.id,series.name,builtInEmote.id,builtInEmote.type.id,builtInEmote.type.name,builtInEmote.name,builtInEmote.description,builtInEmote.rarity.id,builtInEmote.rarity.name,builtInEmote.series,builtInEmote.images.icon,builtInEmote.images.featured,builtInEmote.images.background,builtInEmote.images.icon_background,builtInEmote.images.full_background,builtInEmote.video,builtInEmote.series.id,builtInEmote.series.name
267,EID_Flamenco,Flamenco,Clap it up.,,0,,False,False,False,,,0.03,,,/BRCosmetics/Athena/Items/Cosmetics/Dances/EID_Flamenco,"['Cosmetics.EmoteType.Dance', 'Cosmetics.Source.Season6.BattlePass.Paid', 'Cosmetics.Filter.Season.6']","['emoteDuration:9.00', 'emoteLoop']",,emote,Emote,Epic,Epic,2018-09-27,6.0,https://media.fortniteapi.io/images/24d5148-55668fa-6e18821-67442fb/transparent.png,,https://media.fortniteapi.io/images/cosmetics/24d5148-55668fa-6e18821-67442fb/v2/background.png,https://media.fortniteapi.io/images/cosmetics/24d5148-55668fa-6e18821-67442fb/v2/icon_background.png,https://media.fortniteapi.io/images/cosmetics/24d5148-55668fa-6e18821-67442fb/v2/info.en.png,,,,,,6.0,95.0,,paid,Chapter 1,Season 6,Chapter 1 - Season 6,Battle Pass,,,,,,,,,,,,,,,,,,,
268,EID_HipHopS7,Free Flow,Feel the flow.,,0,,False,False,False,,,0.06,,,/BRCosmetics/Athena/Items/Cosmetics/Dances/EID_HipHopS7,"['Cosmetics.EmoteType.Dance', 'Cosmetics.Source.Season7.BattlePass.Paid', 'Cosmetics.Filter.Season.7']","['emoteDuration:9.87', 'emoteLoop']",,emote,Emote,Epic,Epic,2018-12-06,7.00,https://media.fortniteapi.io/images/ca2e8ca-4755d2e-487db17-a1eeb14/transparent.png,,https://media.fortniteapi.io/images/cosmetics/ca2e8ca-4755d2e-487db17-a1eeb14/v2/background.png,https://media.fortniteapi.io/images/cosmetics/ca2e8ca-4755d2e-487db17-a1eeb14/v2/icon_background.png,https://media.fortniteapi.io/images/cosmetics/ca2e8ca-4755d2e-487db17-a1eeb14/v2/info.en.png,,,,,,7.0,95.0,,paid,Chapter 1,Season 7,Chapter 1 - Season 7,Battle Pass,,,,,,,,,,,,,,,,,,,
269,EID_HipHop01,Freestylin',Tear up the dance floor.,,0,,False,False,False,,,0.04,,,/BRCosmetics/Athena/Items/Cosmetics/Dances/EID_HipHop01,"['Cosmetics.EmoteType.Dance', 'Cosmetics.Filter.Season.4']","['emoteDuration:6.27', 'emoteLoop']",,emote,Emote,Epic,Epic,2018-05-01,4.0,https://media.fortniteapi.io/images/8e40212-1fc2753-b37671c-7bc90d8/transparent.png,,https://media.fortniteapi.io/images/cosmetics/8e40212-1fc2753-b37671c-7bc90d8/v2/background.png,https://media.fortniteapi.io/images/cosmetics/8e40212-1fc2753-b37671c-7bc90d8/v2/icon_background.png,https://media.fortniteapi.io/images/cosmetics/8e40212-1fc2753-b37671c-7bc90d8/v2/info.en.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,EID_Fresh,Fresh,Express yourself on the battlefield.,,800,,False,False,False,2017-12-16,2018-11-21,0.1,,,/BRCosmetics/Athena/Items/Cosmetics/Dances/EID_Fresh,"['Cosmetics.EmoteType.Dance', 'Cosmetics.Source.ItemShop', 'Cosmetics.Filter.Season.1', 'Phoebe.Cosmetic.Minus.Zone1', 'Phoebe.Cosmetic.Minus.Zone2']","['emoteDuration:5.07', 'emoteLoop']",,emote,Emote,Epic,Epic,2017-10-24,1.7.2,https://media.fortniteapi.io/images/8696941-aa98527-e7c2f1d-33f4bfd/transparent.png,,https://media.fortniteapi.io/images/cosmetics/8696941-aa98527-e7c2f1d-33f4bfd/v2/background.png,https://media.fortniteapi.io/images/cosmetics/8696941-aa98527-e7c2f1d-33f4bfd/v2/icon_background.png,https://media.fortniteapi.io/images/cosmetics/8696941-aa98527-e7c2f1d-33f4bfd/v2/info.en.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,EID_GlowstickDance,Glowsticks,Make it glow.,,800,,False,False,False,2019-02-02,2025-12-06,0.01,,,/BRCosmetics/Athena/Items/Cosmetics/Dances/EID_GlowstickDance,"['Cosmetics.EmoteType.Dance', 'Cosmetics.Source.ItemShop', 'Cosmetics.Filter.Season.7', 'Phoebe.Cosmetic.Minus.Zone1', 'Phoebe.Cosmetic.Minus.Zone2', 'Emote.Mech.Disabled.Art']","['emoteDuration:10.00', 'emoteLoop']",,emote,Emote,Epic,Epic,2018-12-06,7.00,https://media.fortniteapi.io/images/8cf2aa7-3365c32-021c7b5-1bbccf5/transparent.png,https://media.fortniteapi.io/images/8cf2aa7-3365c32-021c7b5-1bbccf5/full_featured.png,https://media.fortniteapi.io/images/cosmetics/8cf2aa7-3365c32-021c7b5-1bbccf5/v2/background.png,https://media.fortniteapi.io/images/cosmetics/8cf2aa7-3365c32-021c7b5-1bbccf5/v2/icon_background.png,https://media.fortniteapi.io/images/cosmetics/8cf2aa7-3365c32-021c7b5-1bbccf5/v2/info.en.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,EID_GrooveJam,Groove Jam,Untamed groove.,,0,,False,False,False,,,0.1,,,/BRCosmetics/Athena/Items/Cosmetics/Dances/EID_GrooveJam,"['Cosmetics.EmoteType.Dance', 'Cosmetics.Source.Season4.BattlePass.Paid', 'Cosmetics.Filter.Season.4', 'Emote.Mech.Disabled.Design']","['emoteDuration:9.33', 'emoteLoop']",,emote,Emote,Epic,Epic,2018-05-01,4.0,https://media.fortniteapi.io/images/ba10f93-6e1e7a4-bad9148-c2c2758/transparent.png,,https://media.fortniteapi.io/images/cosmetics/ba10f93-6e1e7a4-bad9148-c2c2758/v2/background.png,https://media.fortniteapi.io/images/cosmetics/ba10f93-6e1e7a4-bad9148-c2c2758/v2/icon_background.png,https://media.fortniteapi.io/images/cosmetics/ba10f93-6e1e7a4-bad9148-c2c2758/v2/info.en.png,,,,,,4.0,95.0,,paid,Chapter 1,Season 4,Chapter 1 - Season 4,Battle Pass,,,,,,,,,,,,,,,,,,,
273,EID_HulaHoop,Hoop Master,Round and round.,,0,,False,False,False,,,0.02,,,/BRCosmetics/Athena/Items/Cosmetics/Dances/EID_HulaHoop,"['Cosmetics.EmoteType.Dance', 'Cosmetics.Source.Season8.BattlePass.Paid', 'Cosmetics.Filter.Season.8']","['emoteDuration:10.23', 'emoteLoop']",,emote,Emote,Epic,Epic,2019-02-28,8.00,https://media.fortniteapi.io/images/97ad2ba-bbf75c8-456d84c-f5bfd8c/transparent.png,,https://media.fortniteapi.io/images/cosmetics/97ad2ba-bbf75c8-456d84c-f5bfd8c/v2/background.png,https://media.fortniteapi.io/images/cosmetics/97ad2ba-bbf75c8-456d84c-f5bfd8c/v2/icon_background.png,https://media.fortniteapi.io/images/cosmetics/97ad2ba-bbf75c8-456d84c-f5bfd8c/v2/info.en.png,,,,,,8.0,95.0,,paid,Chapter 1,Season 8,Chapter 1 - Season 8,Battle Pass,,,,,,,,,,,,,,,,,,,
274,EID_Hula,Hula,Get the luau started!,,800,,False,False,False,2018-07-16,2025-12-04,0.0,,,/BRCosmetics/Athena/Items/Cosmetics/Dances/EID_Hula,"['Cosmetics.EmoteType.Dance', 'Cosmetics.Source.ItemShop', 'Cosmetics.Filter.Season.5']","['emoteDuration:7.20', 'emoteLoop']",,emote,Emote,Epic,Epic,2018-07-11,4.5-CU,https://media.fortniteapi.io/images/3d0cd9a-6467e15-2c82a41-b8f53d2/transparent.png,https://media.fortniteapi.io/images/3d0cd9a-6467e15-2c82a41-b8f53d2/full_featured.png,https://media.fortniteapi.io/images/cosmetics/3d0cd9a-6467e15-2c82a41-b8f53d2/v2/background.png,https://media.fortniteapi.io/images/cosmetics/3d0cd9a-6467e15-2c82a41-b8f53d2/v2/icon_background.png,https://media.fortniteapi.io/images/cosmetics/3d0cd9a-6467e15-2c82a41-b8f53d2/v2/info.en.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,EID_Intensity,Intensity,Dance like you mean it.,,800,,False,False,False,2018-08-27,2025-10-26,0.02,,,/BRCosmetics/Athena/Items/Cosmetics/Dances/EID_Intensity,"['Cosmetics.EmoteType.Dance', 'Cosmetics.Source.ItemShop', 'Cosmetics.Filter.Season.5']","['emoteDuration:5.33', 'emoteLoop']",,emote,Emote,Epic,Epic,2018-07-11,4.5-CU,https://media.fortniteapi.io/images/3d9a5b0-e650e64-8ca9b61-a32274d/transparent.png,https://media.fortniteapi.io/images/3d9a5b0-e650e64-8ca9b61-a32274d/full_featured.png,https://media.fortniteapi.io/images/cosmetics/3d9a5b0-e650e64-8ca9b61-a32274d/v2/background.png,https://media.fortniteapi.io/images/cosmetics/3d9a5b0-e650e64-8ca9b61-a32274d/v2/icon_background.png,https://media.fortniteapi.io/images/cosmetics/3d9a5b0-e650e64-8ca9b61-a32274d/v2/info.en.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,EID_LlamaBell,Llama Bell,Clang! Clang! Clang! Clang!,,800,,False,False,False,2018-08-20,2025-08-14,0.05,,,/Game/Athena/Items/Cosmetics/Dances/EID_LlamaBell,"['Cosmetics.EmoteType.Dance', 'Cosmetics.Source.ItemShop', 'Cosmetics.Filter.Season.5']","['emoteDuration:7.47', 'emoteLoop']",,emote,Emote,Epic,Epic,2018-07-11,4.5-CU,https://media.fortniteapi.io/images/0b27bfa-8c7b80b-5812a39-3750e3f/transparent.png,https://media.fortniteapi.io/images/0b27bfa-8c7b80b-5812a39-3750e3f/full_featured.png,https://media.fortniteapi.io/images/cosmetics/0b27bfa-8c7b80b-5812a39-3750e3f/v2/background.png,https://media.fortniteapi.io/images/cosmetics/0b27bfa-8c7b80b-5812a39-3750e3f/v2/icon_background.png,https://media.fortniteapi.io/images/cosmetics/0b27bfa-8c7b80b-5812a39-3750e3f/v2/info.en.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,EID_Wizard,Llamacadabra,Don't forget the magic word.,,800,,False,False,False,2018-11-17,2025-09-02,0.01,,,/BRCosmetics/Athena/Items/Cosmetics/Dances/EID_Wizard,"['Cosmetics.EmoteType.Dance', 'Cosmetics.Source.ItemShop', 'Cosmetics.Filter.Season.6']",['emoteDuration:13.67'],,emote,Emote,Epic,Epic,2018-09-27,6.0,https://media.fortniteapi.io/images/0add7aa-f3225d4-8e12143-753c789/transparent.png,https://media.fortniteapi.io/images/0add7aa-f3225d4-8e12143-753c789/full_featured.png,https://media.fortniteapi.io/images/cosmetics/0add7aa-f3225d4-8e12143-753c789/v2/background.png,https://media.fortniteapi.io/images/cosmetics/0add7aa-f3225d4-8e12143-753c789/v2/icon_background.png,https://media.fortniteapi.io/images/cosmetics/0add7aa-f3225d4-8e12143-753c789/v2/info.en.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,EID_Saxophone,Phone It In,Lay down a saxy groove.,,800,,False,False,False,2018-12-03,2025-09-11,0.26,,,/Game/Athena/Items/Cosmetics/Dances/EID_Saxophone,"['Cosmetics.EmoteType.Dance', 'Cosmetics.Source.ItemShop', 'Cosmetics.Filter.Season.6']","['emoteDuration:7.37', 'emoteLoop']",,emote,Emote,Epic,Epic,2018-09-27,6.0,https://media.fortniteapi.io/images/be3f792-05e5110-1cb8694-f108754/transparent.png,https://media.fortniteapi.io/images/be3f792-05e5110-1cb8694-f108754/full_featured.png,https://media.fortniteapi.io/images/cosmetics/be3f792-05e5110-1cb8694-f108754/v2/background.png,https://media.fortniteapi.io/images/cosmetics/be3f792-05e5110-1cb8694-f108754/v2/icon_background.png,https://media.fortniteapi.io/images/cosmetics/be3f792-05e5110-1cb8694-f108754/v2/info.en.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,EID_PopLock,Pop Lock,Lock it down.,,800,,False,False,False,2018-06-23,2025-05-14,0.02,,,/BRCosmetics/Athena/Items/Cosmetics/Dances/EID_PopLock,"['Cosmetics.EmoteType.Dance', 'Cosmetics.Source.ItemShop', 'Cosmetics.Filter.Season.4']","['emoteDuration:8.31', 'emoteLoop']",,emote,Emote,Epic,Epic,2018-05-01,4.0,https://media.fortniteapi.io/images/c9dc470-b5301e4-feda8d0-f64a880/transparent.png,https://media.fortniteapi.io/images/c9dc470-b5301e4-feda8d0-f64a880/full_featured.png,https://media.fortniteapi.io/images/cosmetics/c9dc470-b5301e4-feda8d0-f64a880/v2/background.png,https://media.fortniteapi.io/images/cosmetics/c9dc470-b5301e4-feda8d0-f64a880/v2/icon_background.png,https://media.fortniteapi.io/images/cosmetics/c9dc470-b5301e4-feda8d0-f64a880/v2/info.en.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,EID_Zombie,Reanimated,From beyond the rave!,,800,,False,False,False,2018-03-03,2025-11-01,0.08,,,/BRCosmetics/Athena/Items/Cosmetics/Dances/EID_Zombie,"['Cosmetics.EmoteType.Dance', 'Cosmetics.Source.ItemShop', 'Cosmetics.Filter.Season.3']","['emoteDuration:4.83', 'emoteLoop']",,emote,Emote,Epic,Epic,2018-02-22,3.0.0,https://media.fortniteapi.io/images/caaf475-b740c8d-dbe71f2-2d92d0d/transparent.png,https://media.fortniteapi.io/images/caaf475-b740c8d-dbe71f2-2d92d0d/full_featured.png,https://media.fortniteapi.io/images/cosmetics/caaf475-b740c8d-dbe71f2-2d92d0d/v2/background.png,https://media.fortniteapi.io/images/cosmetics/caaf475-b740c8d-dbe71f2-2d92d0d/v2/icon_background.png,https://media.fortniteapi.io/images/cosmetics/caaf475-b740c8d-dbe71f2-2d92d0d/v2/info.en.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,EID_RockGuitar,Rock Out,Are you ready to rock?!,,800,,False,False,False,2018-04-14,2025-10-30,0.04,,,/BRCosmetics/Athena/Items/Cosmetics/Dances/EID_RockGuitar,"['Cosmetics.EmoteType.Dance', 'Cosmetics.Source.ItemShop', 'Cosmetics.Set.Volume11', 'Cosmetics.Filter.Season.3']","['emoteDuration:10.13', 'emoteLoop']",,emote,Emote,Epic,Epic,2018-02-22,3.0.0,https://media.fortniteapi.io/images/18fda98-5e83309-a0bd51c-883f160/transparent.png,,https://media.fortniteapi.io/images/cosmetics/18fda98-5e83309-a0bd51c-883f160/v2/background.png,https://media.fortniteapi.io/images/cosmetics/18fda98-5e83309-a0bd51c-883f160/v2/icon_background.png,https://media.fortniteapi.io/images/cosmetics/18fda98-5e83309-a0bd51c-883f160/v2/info.en.png,,,Volume11,Volume 11,Part of the Volume 11 set.,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,EID_RocketRodeo,Rocket Rodeo,Hang on tight!,,800,,False,False,False,2018-03-12,2025-05-01,0.02,,,/BRCosmetics/Athena/Items/Cosmetics/Dances/EID_RocketRodeo,"['Cosmetics.EmoteType.Dance', 'Cosmetics.Source.ItemShop', 'Cosmetics.Filter.Season.3']",['emoteDuration:8.67'],,emote,Emote,Epic,Epic,2018-02-22,3.0.0,https://media.fortniteapi.io/images/160ff3d-49a5c35-52ba860-181f2dc/transparent.png,https://media.fortniteapi.io/images/160ff3d-49a5c35-52ba860-181f2dc/full_featured.png,https://media.fortniteapi.io/images/cosmetics/160ff3d-49a5c35-52ba860-181f2dc/v2/background.png,https://media.fortniteapi.io/images/cosmetics/160ff3d-49a5c35-52ba860-181f2dc/v2/icon_background.png,https://media.fortniteapi.io/images/cosmetics/160ff3d-49a5c35-52ba860-181f2dc/v2/info.en.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,EID_Maracas,Shake It Up,Feel the rhythm.,,800,,False,False,False,2018-09-01,2025-09-13,0.01,,,/BRCosmetics/Athena/Items/Cosmetics/Dances/EID_Maracas,"['Cosmetics.EmoteType.Dance', 'Cosmetics.Source.ItemShop', 'Cosmetics.Filter.Season.5']","['emoteDuration:8.13', 'emoteLoop']",,emote,Emote,Epic,Epic,2018-07-11,4.5-CU,https://media.fortniteapi.io/images/1a597ea-432a9d2-87db6e9-8067e3b/transparent.png,https://media.fortniteapi.io/images/1a597ea-432a9d2-87db6e9-8067e3b/full_featured.png,https://media.fortniteapi.io/images/cosmetics/1a597ea-432a9d2-87db6e9-8067e3b/v2/background.png,https://media.fortniteapi.io/images/cosmetics/1a597ea-432a9d2-87db6e9-8067e3b/v2/icon_background.png,https://media.fortniteapi.io/images/cosmetics/1a597ea-432a9d2-87db6e9-8067e3b/v2/info.en.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
